Ref,Qty1,Qty3,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
C1 C2 C5,3,9,RLC-0603-SMD,Wickerlib,CAP-CER-1UF-25V-X7R-0603,wickerlib,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TMK107B7105KA-T&fileName=TMK107B7105KA-T_SS&mode=specSheetDownload,Taiyo Yuden,TMK107B7105KA-T,Digikey,587-2984-1-ND,
C10 C11 C4 C7 C9,5,15,RLC-0603-SMD,Wickerlib,CAP-CER-0.1UF-100V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,
C3,1,3,RLC-0805-SMD,Wickerlib,CAP-CER-10UF-16V-X7R-0805,wickerlib,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL21B104KACNNNC.pdf,Samsung,CL21B106KOQNNNE,Digikey,1276-2872-1-ND,
C6 C8,2,6,RLC-0603-SMD,Wickerlib,CAP-CER-22PF-50V-NP0-0603,wickerlib,http://www.kemet.com/docfinder?Partnumber=C0603C220F1GACTU,Kemet,C0603C220K4GACTU,Digikey,399-9031-1-ND,
D1 D3,2,6,RLC-0603-SMD,Wickerlib,DIODE-TVS-CG0603MLC-05E,wickerlib,http://www.ti.com/lit/ds/symlink/tpd3e001.pdf,Bourns,CG0603MLC-05E,Digikey,CG0603MLC-05ECT-ND,
D2,1,3,DIODE-SMA,Wickerlib,DIODE-SCHOTTKY-20V-1A-SS12-SMA,wickerlib,http://www.vishay.com/docs/88746/ss12.pdf,Vishay,SS12-E3/61T,Digikey,SS12-E3/61TGICT-ND,
J1,1,3,CONN-HEADER-STRAIGHT-P2.54MM-1x05,Wickerlib,HEADER-MALE-5POS-TH-1x05-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-9992046,Digikey,952-1902-ND,
J2,1,3,CONN-USB-MICRO-B-AMPHENOL-10118193-0001LF,Wickerlib,CONN-USB-MICRO-B-10118193,wickerlib,http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J3 J4,2,6,CONN-HEADER-STRAIGHT-P2.54MM-1x18,Wickerlib,HEADER-FEMALE-18POS-TH-1x18-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-7822046,Digikey,952-1905-ND,
L1 L2 L3,3,9,RLC-0805-SMD,Wickerlib,FERRITE-BEAD-30-OHM-0805-1LN,wickerlib,http://www.bourns.com/docs/Product-Datasheets/mh.pdf,Bourns,MH2029-300Y,Digikey,MH2029-300YCT-ND,
R1,1,3,RLC-0603-SMD,Wickerlib,RES-1K-1%-1/10W-0603,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC_Series_ds.pdf,Samsung,RC1608F102CS,Digikey,1276-3484-1-ND,
R2,1,3,RLC-0603-SMD,Wickerlib,RES-10K-1%-1/8W-0603,wickerlib,http://www.seielect.com/catalog/SEI-RNCP.pdf,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R3,1,3,RLC-0603-SMD,Wickerlib,RES-330-5%-1/10W-0603,wickerlib,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Yageo,RC0603JR-07330RL,Digikey,311-330GRCT-ND,
S1,1,3,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P,Wickerlib,SWITCH-MOMENT-SPST-NO-0.05A-12V-SMT-B3U-1000P,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,Omron,B3U-1000P,Digikey,SW1020CT-ND,
U1,1,3,SSOP-5,Wickerlib,IC-REG-LDO-3.3V-0.5A-BU33SD5WG-SSOP5,wickerlib,http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/buxxsd5wg-e.pdf,Rohm Semi,BU33SD5WG-TR,Digikey,BU33SD5WG-TRCT-ND,
U2,1,3,TQFP-48_7x7mm_Pitch0.5mm,Wickerlib,IC-MCU-ATSAMD21G18A-TQFP48-CUSTOM2,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590209,Atmel,ATSAMD21G18A-AUT,Digikey,ATSAMD21G18A-AUTCT-ND,
X1,1,3,CRYSTAL-CTS-4SMD,Wickerlib,CRYSTAL-16MHZ-18PF-40OHM-CTS-4SMD,wickerlib,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CTS,406I35D16M00000,Digikey,CTX1206CT-ND,
