Ref,Qty,Description,Digikey PN
AN1,1,CONN UFL JACK STR 50 OHM SMD,H122041-ND
BAT1,1,CR1220 BATTERY HOLDER SMT FLATPIN,BK-916-CT-ND
C3 C2 C1,3,CAP CER 1UF 10V X7R 0603,1276-1946-1-ND
C4,1,CAP CER 0.01UF 50V X7R 0603,490-1512-1-ND
D1,1,DIODE GEN PURP 75V 250MA BAS16 SOD323,BAS16WS-E3-08CT-ND
J1,1,HEADER MALE 10POS TH 1x10 0.1”,952-1902-ND
LED1,1,LED AMBER DIFFUSED 0603 SMD,475-2712-1-ND
R1,1,RES SMD 10K OHM 1% 1/8W 0603,RNCP0603FTD10K0CT-ND
R3 R2,2,RES SMD 470 OHM 5% 1/4W 0603,RHM470DCT-ND
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,SW1020CT-ND
U1,1,IC REG LDO 3.3V 0.15A SOT353,576-3193-1-ND
