Ref,Qty,Description,MF,MF PN,S1,S1_PN
AN1,1,CONN UFL JACK STR 50 OHM SMD,Hirose,U.FL-R-SMT-1(01,Digikey,H122041-ND
BAT1,1,CR1220 BATTERY HOLDER SMT FLATPIN,MPD,BK-916-TR,Digikey,BK-916-CT-ND
C3 C2 C1,3,CAP CER 1UF 10V X7R 0603,Samsung,CL10B105KP8NNNC,Digikey,1276-1946-1-ND
C4,1,CAP CER 0.01UF 50V X7R 0603,Murata,GRM188R71H103KA01D,Digikey,490-1512-1-ND
D1,1,DIODE GEN PURP 75V 250MA 1N4148 SOD123,SMC Diode,1N4148WTR,Digikey,1655-1360-1-ND
J1,1,HEADER MALE 10POS TH 1x10 0.1”,Harwin,M20-9992046,Digikey,952-1902-ND
LED1,1,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND
R1,1,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND
R3 R2,2,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P,Digikey,SW1020CT-ND
U1,1,IC REG LDO 3.3V 0.15A SOT353,Microchip,MIC5365-3.3YC5-TR,Digikey,576-3193-1-ND
U2,1,GPS MODULE PA6H MTK3339,GlobalTop,FGPMMOPA6H,Adafruit,790
