Ref,Qty,Qty3,Description,Digikey PN
C1 C2 C3,3,3,CAP CER 4.7UF 50V X7R 1206,587-2994-1-ND
J1,1,3,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,609-4616-1-ND
J2,1,3,CONN HEADER PH SIDE 2POS 2MM,455-1719-ND
J3 J4,2,3,HEADER FEMALE 7POS TH 1x07 0.1IN,952-1905-ND
LED1 LED2 LED3,3,3,LED AMBER DIFFUSED 0603 SMD,475-2712-1-ND
R1,1,3,RES SMD 0.0 OHM JUMPER 1/8W 0603,MCT0603-0.0-ZZCT-ND
R2 R3 R4,3,3,RES SMD 470 OHM 5% 1/4W 0603,RHM470DCT-ND
R5,1,3,NTC THERMISTOR 10K OHM 1% 0402,445-2550-1-ND
R6,1,3,RES SMD 2K OHM 1% 1/8W 0603,RNCP0603FTD2K00CT-ND
R7,1,3,RES SMD 100K OHM 1% 1/10W 0603,RMCF0603FG100KCT-ND
U1,1,3,IC USB/AC BATT CHRGR MCP73871 20QFN,MCP73871T-2CCI/MLCT-ND
