Ref,Qty,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
B1,1,UNDEFINED,Wickerlib,BATT-LIPO-3.7V-500MAH-JST-2PIN,wickerlib,https://cdn-shop.adafruit.com/product-files/1578/C1854+PKCell+Datasheet+Li-Polymer+503035+500mAh+3.7V+with+PCM.pdf,PKCELL,LP503035,Adafruit,1578,
C1 C2 C3,3,RLC-1206-SMD,Wickerlib,CAP-CER-4.7UF-50V-X7R-1206,wickerlib,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=UMK316AB7475KL-T&fileName=UMK316AB7475KL-T_SS&mode=specSheetDownload,Taiyo Yuden,UMK316AB7475KL-T,Digikey,587-2994-1-ND,
J1,1,CONN-USB-MICRO-B-AMPHENOL-10118193-0001LF,Wickerlib,CONN-USB-MICRO-B-10118193,wickerlib,http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J2,1,CONN-JST-S2B-PH-SM4-TB,Wickerlib,HEADER-FEMALE-2POS-TH-1x02-JST-PH,wickerlib,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST,S2B-PH-K-S(LF)(SN,Digikey,455-1719-ND,
J3 J4,2,CONN-HEADER-STRAIGHT-P2.54MM-1x07,Wickerlib,HEADER-FEMALE-7POS-TH-1x07-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-7822046,Digikey,952-1905-ND,
LED1 LED2 LED3,3,LED-0603-SMD,Wickerlib,LED-AMBER-0603-SMT-L296-Q2R2,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LSLALOLY_296.pdf,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,
R1,1,RLC-0603-SMD,Wickerlib,RES-0.0-JUMPER-1/8W-0603,wickerlib,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R2 R3 R4,3,RLC-0603-SMD,Wickerlib,RES-470-5%-1/4W-0603,wickerlib,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
R5,1,RLC-0402-SMD,Wickerlib,THERM-NTC-10K-1%-0402,wickerlib,https://product.tdk.com/info/en/catalog/datasheets/tpd_ntc-thermistor_ntcg_en.pdf,Samsung,NTCG103JF103FT1,Digikey,445-2550-1-ND,
R6,1,RLC-0603-SMD,Wickerlib,RES-2K-1%-1/8W-0603,wickerlib,http://www.seielect.com/catalog/SEI-RNCP.pdf,Stackpole,RNCP0603FTD2K00,Digikey,RNCP0603FTD2K00CT-ND,
R7,1,RLC-0603-SMD,Wickerlib,RES-100K-1%-1/10W-0603,wickerlib,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole,RMCF0603FG100K,Digikey,RMCF0603FG100KCT-ND,
U1,1,QFN-20-1EP-4x4MM_P0.5MM,Wickerlib,IC-LI-ION-CONTROLLER-MCP73871-QFN20,wickerlib,http://ww1.microchip.com/downloads/en/DeviceDoc/20002090C.pdf,Microchip,MCP73871T-2CCI/ML,Digikey,MCP73871T-2CCI/MLCT-ND,
