Ref,Qty,Description,MF,MF_PN,S1,S1_PN,Type
B1,1,Lithium Ion Polymer Battery - 3.7v 500mAh,PKCELL,LP503035,Adafruit,1578,
C1 C2 C3,3,CAP CER 4.7UF 50V X7R 1206,Taiyo Yuden,UMK316AB7475KL-T,Digikey,587-2994-1-ND,
J1,1,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J2,1,CONN HEADER PH SIDE 2POS 2MM,JST,S2B-PH-K-S(LF)(SN,Digikey,455-1719-ND,
J3 J4,2,HEADER FEMALE 7POS TH 1x07 0.1IN,Harwin,M20-7822046,Digikey,952-1905-ND,
LED1 LED2 LED3,3,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,
R1,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R2 R3 R4,3,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
R5,1,NTC THERMISTOR 10K OHM 1% 0402,Samsung,NTCG103JF103FT1,Digikey,445-2550-1-ND,
R6,1,RES SMD 2K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD2K00,Digikey,RNCP0603FTD2K00CT-ND,
R7,1,RES SMD 100K OHM 1% 1/10W 0603,Stackpole,RMCF0603FG100K,Digikey,RMCF0603FG100KCT-ND,
U1,1,IC USB/AC BATT CHRGR MCP73871 20QFN,Microchip,MCP73871T-2CCI/ML,Digikey,MCP73871T-2CCI/MLCT-ND,
