Refdes,Quantity,Description,Manufacturer,MPN
B1,1,Lithium Ion Polymer Battery - 3.7v 500mAh,PKCELL,LP503035
C1 C2 C3,3,CAP CER 4.7UF 50V X7R 1206,Taiyo Yuden,UMK316AB7475KL-T
J1,1,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF
J2,1,CONN HEADER PH SIDE 2POS 2MM,JST,S2B-PH-K-S(LF)(SN
J3 J4,2,HEADER FEMALE 7POS TH 1x07 0.1IN,Harwin,M20-7822046
LED1 LED2 LED3,3,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z
R1,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500
R2 R3 R4,3,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471
R5,1,NTC THERMISTOR 10K OHM 1% 0402,Samsung,NTCG103JF103FT1
R6,1,RES SMD 2K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD2K00
R7,1,RES SMD 100K OHM 1% 1/10W 0603,Stackpole,RMCF0603FG100K
U1,1,IC USB/AC BATT CHRGR MCP73871 20QFN,Microchip,MCP73871T-2CCI/ML
