Ref,Qty,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
B1,1,UNDEFINED,Wickerlib,BATT-LIPO-3.7V-500MAH-JST-2PIN,wickerlib,https://cdn-shop.adafruit.com/product-files/1578/C1854+PKCell+Datasheet+Li-Polymer+503035+500mAh+3.7V+with+PCM.pdf,PKCELL,LP503035,Adafruit,1578,
C1 C3 C4,3,RLC-0603-SMD,Wickerlib,CAP-CER-2.2UF-10V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71A225KE15-01.pdf,Murata,GRM188R71A225KE15D,Digikey,490-4520-1-ND,
C2,1,RLC-0603-SMD,Wickerlib,CAP-CER-4.7UF-6.3V-X7R-0603,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B475KQ8NQNC_Spec.pdf,Samsung,CL10B475KQ8NQNC,Digikey,1276-2087-1-ND,
J1,1,CONN-USB-MICRO-B-AMPHENOL-10118193-0001LF,Wickerlib,CONN-USB-MICRO-B-10118193,wickerlib,http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J2,1,CONN-JST-S2B-PH-SM4-TB,Wickerlib,HEADER-FEMALE-2POS-TH-1x02-JST-PH,wickerlib,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST,S2B-PH-K-S(LF)(SN,Digikey,455-1719-ND,
J3 J4,2,CONN-HEADER-STRAIGHT-P2.54MM-1x07,Wickerlib,HEADER-MALE-7POS-TH-1x07-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-9992046,Digikey,952-1902-ND,
LED1,1,LED-0603-SMD,Wickerlib,LED-RED-0603-SMT-HSMS-C191,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMz-Czzz.pdf,Broadcom,HSMS-C191,Digikey,516-3074-1-ND,
R1,1,RLC-0603-SMD,Wickerlib,RES-0.0-JUMPER-1/8W-0603,wickerlib,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R2 R5 R6,3,RLC-0603-SMD,Wickerlib,RES-10K-1%-1/8W-0603,wickerlib,http://www.seielect.com/catalog/SEI-RNCP.pdf,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R3,1,RLC-0603-SMD,Wickerlib,THERM-NTC-10K-5%-0603,wickerlib,https://product.tdk.com/info/en/catalog/datasheets/tpd_ntc-thermistor_ntcg_en.pdf,TDK,NTCG164BH103JT1,Digikey,445-174327-1-ND,
R4,1,RLC-0603-SMD,Wickerlib,RES-604-OHM-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C283.pdf,Panasonic,ERJ-3EKF6040V,Digikey,P604HCT-ND,
S1,1,CONN-HEADER-STRAIGHT-P2.54MM-1x03,Wickerlib,SWITCH_JUMPER_3PIN,wickerlib,,,,,,
S2,1,SWITCH-ESWITCH-SLIDE-TH-EG1218,Wickerlib,SWITCH-SLIDE-SPDT-200MA-30V,wickerlib,https://www.e-switch.com/system/asset/product_line/data_sheet/119/EG.pdf,E-Switch,EG1218,Digikey,EG1903-ND,
U1,1,DFN-12-1EP-3x3MM-P0.45MM,Wickerlib,IC-LI-ION-BATT-CHARGER-LDO-STNS01-DFN12,wickerlib,http://www.st.com/content/ccc/resource/technical/document/datasheet/6b/eb/42/43/00/eb/4e/7f/DM00085223.pdf/files/DM00085223.pdf/jcr:content/translations/en.DM00085223.pdf,STM,STNS01PUR,Digikey,497-13880-1-ND,
U2,1,SOT-23-3,Wickerlib,IC-REG-LDO-3.3V-0.25A-MCP1703-SOT23A-3,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en530937,Diodes Inc,AP7333-33SAG-7,Digikey,AP7333-33SAG-7DICT-ND,
