Ref,Qty,Description,MF,MF_PN,S1,S1_PN,Type
B1,1,Lithium Ion Polymer Battery - 3.7v 500mAh,PKCELL,LP503035,Adafruit,1578,
C1 C3 C4,3,CAP CER 2.2UF 10V X7R 0603,Murata,GRM188R71A225KE15D,Digikey,490-4520-1-ND,
C2,1,CAP CER 4.7UF 6.3V X7R 0603,Samsung,CL10B475KQ8NQNC,Digikey,1276-2087-1-ND,
J1,1,USB MICRO-B CONN 5PIN SMT STUDS,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J2,1,CONN HEADER PH SIDE 2POS 2MM,JST,S2B-PH-K-S(LF)(SN,Digikey,455-1719-ND,
J3 J4,2,HEADER MALE 7POS TH 1x07 0.1IN,Harwin,M20-9992046,Digikey,952-1902-ND,
LED1,1,LED RED DIFFUSED 0603 SMD,Broadcom,HSMS-C191,Digikey,516-3074-1-ND,
R1,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R2 R5 R6,3,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R3,1,NTC THERMISTOR 10K OHM 5% 0603,TDK,NTCG164BH103JT1,Digikey,445-174327-1-ND,
R4,1,RES SMD 604 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF6040V,Digikey,P604HCT-ND,
S1,1,,,,,,
S2,1,SWITCH SLIDE SPDT 200MA 30V,E-Switch,EG1218,Digikey,EG1903-ND,
U1,1,IC LI-ION BATT CHARGER LDO STNS01 DFN12,STM,STNS01PUR,Digikey,497-13880-1-ND,
U2,1,IC REG LDO 3.3V 0.3A SOT23-3,Diodes Inc,AP7333-33SAG-7,Digikey,AP7333-33SAG-7DICT-ND,
