Refdes,Quantity,Description,Manufacturer,MPN
B1,1,Lithium Ion Polymer Battery - 3.7v 500mAh,PKCELL,LP503035
C1 C3 C4,3,CAP CER 2.2UF 10V X7R 0603,Murata,GRM188R71A225KE15D
C2,1,CAP CER 4.7UF 6.3V X7R 0603,Samsung,CL10B475KQ8NQNC
J1,1,USB MICRO-B CONN 5PIN SMT STUDS,Amphenol,10118193-0001LF
J2,1,CONN HEADER PH SIDE 2POS 2MM,JST,S2B-PH-K-S(LF)(SN
J3 J4,2,HEADER MALE 7POS TH 1x07 0.1IN,Harwin,M20-9992046
LED1,1,LED RED DIFFUSED 0603 SMD,Broadcom,HSMS-C191
R1,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500
R2 R5 R6,3,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0
R3,1,NTC THERMISTOR 10K OHM 5% 0603,TDK,NTCG164BH103JT1
R4,1,RES SMD 604 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF6040V
S1,1,,,
S2,1,SWITCH SLIDE SPDT 200MA 30V,E-Switch,EG1218
U1,1,IC LI-ION BATT CHARGER LDO STNS01 DFN12,STM,STNS01PUR
U2,1,IC REG LDO 3.3V 0.3A SOT23-3,Diodes Inc,AP7333-33SAG-7
